isic_id,coll,label,bg_attr_mean_p6,fg_attr_mean_p6,bg_fg_ratio_p6,r_share_p6,g_share_p6,b_share_p6,total_abs_p6,bg_attr_mean_p10,fg_attr_mean_p10,bg_fg_ratio_p10,r_share_p10,g_share_p10,b_share_p10,total_abs_p10
ISIC_0034250,212,0,0.01132943481206894,0.01842561736702919,0.6148740954722004,0.3113512798816315,0.4447026528737685,0.24394606724459947,1774.4739685058603,0.01086644921451807,0.009391523897647858,1.157048561335143,0.3132511221553768,0.43340724885953263,0.25334162898509,1580.731719970704
ISIC_0026824,212,0,0.015057921409606934,0.021921053528785706,0.6869159545563617,0.4483204438845781,0.3885601167222991,0.1631194393931224,2334.789276123048,0.023434525355696678,0.030266225337982178,0.7742797489281839,0.44234471072345616,0.39774434466431574,0.15991094461222782,3569.4462280273447
ISIC_0027481,212,0,0.027880055829882622,0.037926048040390015,0.7351162926385386,0.497735638000804,0.30327608557007296,0.1989882764291228,4222.059997558595,0.03197449818253517,0.053186554461717606,0.6011763406398066,0.46768185708164944,0.3345439828162951,0.19777416010205523,4949.161010742188
ISIC_0025142,212,0,0.01218811608850956,0.019044362008571625,0.6399855286842292,0.3745169037471879,0.46619278736638936,0.1592903088864223,2112.1868591308603,0.017365088686347008,0.021267645061016083,0.8165026563367601,0.3700260391895482,0.48002961904904035,0.1499443417614111,2739.8699951171884
ISIC_0031483,212,0,0.02195998653769493,0.03576439619064331,0.6140180983522409,0.33113705409385175,0.45328322039448815,0.21557972551165985,3331.5048217773447,0.022331977263092995,0.028764843940734863,0.7763635814991483,0.32523836573337495,0.46172596672000704,0.21303566754661776,3336.496337890626
ISIC_0029629,212,0,0.017744073644280434,0.03838258609175682,0.46229489596823214,0.519148707178006,0.3276246601314177,0.153226632690576,2867.269836425782,0.024246536195278168,0.038089074194431305,0.6365745744175388,0.5211346892526001,0.33089679862899485,0.14796851211840484,3743.5114135742197
ISIC_0032753,212,0,0.009184044785797596,0.0062767984345555305,1.4631734444803677,0.299714037135392,0.46334649833406055,0.23693946453054668,1229.7513122558603,0.009066980332136154,0.004735808353871107,1.914558118620804,0.293373846916821,0.47042298067050753,0.2362031724126707,1151.5154724121103
ISIC_0030411,212,0,0.014124440029263496,0.0248054601252079,0.5694085075612003,0.39686053955479206,0.4019822609565979,0.20115719948860963,2256.075988769532,0.015206304378807545,0.02925136499106884,0.5198493944966467,0.3889218261505015,0.41595593486509314,0.19512223898440495,2470.198028564454
ISIC_0033793,212,0,0.012701675295829773,0.0061363582499325275,2.0699044577407837,0.2740918004011778,0.449378337822121,0.27652986177670064,1790.0775146484384,0.007668500766158104,0.011864479631185532,0.6463410958203015,0.26801557997187786,0.47531619103305967,0.2566682289950617,1183.7237548828134
ISIC_0028986,212,0,0.021045461297035217,0.02597133256494999,0.8103342885623606,0.5333932698886862,0.28079171107415346,0.18581501903716005,3208.9595947265634,0.024319469928741455,0.03999488055706024,0.6080645720155394,0.5204445618562968,0.3047433864529637,0.17481205169073918,3922.351867675782
ISIC_0030191,212,1,0.02106911689043045,0.019074253737926483,1.1045840733751728,0.39475833020615014,0.3906169701854828,0.21462469960836678,3034.0133056640634,0.02306690253317356,0.01485621277242899,1.5526771786671256,0.3726857475651908,0.411493150119159,0.2158211023156499,3101.900695800782
ISIC_0029602,212,1,0.026367204263806343,0.03524697571992874,0.7480699755156086,0.42802747622787574,0.3938817664834258,0.17809075728869825,4203.571594238282,0.03847677633166313,0.032324742525815964,1.1903196537740055,0.4055236376333058,0.4213794848445185,0.17309687752217554,5455.000366210938
