hypothesis,test,statistic,p_value,n,supported,effect_size,ci_lo,ci_hi,mean_delta
H1,chi2,2.947368421052632,0.2290799498154876,300,False,,,,
H2-vignette,wilcoxon,87.0,0.5216732025146484,20,False,0.17381906477694015,-0.009948941249999978,0.02499827624999999,0.006963750000000013
H2-ruler,wilcoxon,287.5,0.15250600352293156,39,False,0.12968550528303743,-0.004666324358974351,0.009642249358974349,0.0029510769230769317
H2-hair,wilcoxon,5473.0,1.5555456706035735e-12,220,True,-0.5017928821146069,-0.08373187159090907,-0.04857461045454546,-0.06617862727272728
H2-colorcast,wilcoxon,2625.0,9.978782053175385e-10,155,True,0.5363433036803084,0.07565250209677421,0.13427883822580644,0.10386518064516129
H3,auc_gap,0.28679999999999994,,300,True,,,,
